Category,SubCategory,CatID,CatShort,Explanations,Synonyms - Comma Separated,Category_fr,SubCategory_fr,Category_pl,SubCategory_pl,Category_de,SubCategory_de,Category_pt,SubCategory_pt,Category_pt-br,SubCategory_pt-br,Category_zh,SubCategory_zh,Category_tw,SubCategory_tw,Category_es,SubCategory_es,Category_ja,SubCategory_ja,Category_no,SubCategory_no,Category_da,SubCategory_da,Category_sv,SubCategory_sv,Category_fi,SubCategory_fi,Category_ru,SubCategory_ru,Category_ua,SubCategory_ua,Category_it,SubCategory_it,Category_nl,SubCategory_nl
AIRCRAFT,PROP,AEROProp,AERO,Aircraft using props as means of propulsion.,"biplane, triplane, turboprop, stunt plane, crop duster, piper cub, propeller, twin-prop, propjet, airscrew",AVIONS,À HÉLICE,LOTNICTWO,SAMOLOT ŚMIGŁOWY,LUFTFAHRZEUG,PROPELLER,AERONAVES,HÉLICE,AERONAVES,HÉLICE,航空器,螺旋桨飞机,飛機,螺旋槳飛機,AVIÓN,PROPULSOR,航空機、飛行機,プロペラ,LUFTFARTØY,PROPELL,FLYVER,REKVISIT,LUFTFARKOSTER,PROPELLER,ILMA-ALUS,VÄLINEISTÖ,АВИАТРАНСПОРТ,САМОЛЕТ ВИНТОВОЙ,АВІАТРАНСПОРТ,ЛІТАК ГВИНТОВИЙ,AVIAZIONE,MOTORE A ELICA,LUCHTVAART,PROPELLER
AIRCRAFT,RADIO CONTROLLED,AERORadio,AERO,"Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcopters, uav, unmanned aerial vehicle",AVIONS,TÉLÉCOMMANDÉ,LOTNICTWO,ZDALNIE STEROWANY,LUFTFAHRZEUG,FERNGESTEUERT,AERONAVES,CONTROLE REMOTO,AERONAVES,CONTROLO REMOTO,航空器,塔台,飛機,塔台,AVIÓN,RADIO CONTROL,航空機、飛行機,無線、通信,LUFTFARTØY,RADIOSTYRT,FLYVER,RADIO KONTROLLERET,LUFTFARKOSTER,FJÄRRSTYRD,ILMA-ALUS,RADIO-OHJATTAVA,АВИАТРАНСПОРТ,РАДИОУПРАВЛЯЕМЫЙ,АВІАТРАНСПОРТ,РАДІОКЕРОВАНИЙ,AVIAZIONE,RADIOCOMANDATO,LUCHTVAART,
AIRCRAFT,ROCKET,AERORckt,AERO,Jet powered rockets and rocket engines.,"rocket, missile, jetpack, space shuttle, spacex, nasa, icbm, nuclear rocket",AVIONS,FUSÉE,LOTNICTWO,RAKIETA,LUFTFAHRZEUG,RAKETE,AERONAVES,FOGUETE,AERONAVES,FOGUETE,航空器,火箭,飛機,火箭,AVIÓN,COHETE,航空機、飛行機,ロケット,LUFTFARTØY,RAKETT,FLYVER,RAKET,LUFTFARKOSTER,RAKET,ILMA-ALUS,RAKETTI,АВИАТРАНСПОРТ,РАКЕТА,АВІАТРАНСПОРТ,РАКЕТА,AVIAZIONE,RAZZO,LUCHTVAART,RAKET
ALARMS,MISC,ALRMMisc,ALRM,Alarm sounds not fitting another category in this list.,,ALARMES,DIVERS,ALARM,RÓŻNE,ALARM,DIV,ALARMES,DIVERSOS,ALARMES,DIVERSOS,警报,杂项,警報,其他,ALARMA,MISCELÁNEA,アラーム,その他,ALARM,DIVERSE,ALARM,DIVERSE,LARM,DIVERSE,HÄLYTIN,SEKALAINEN,СИГНАЛЫ ТРЕВОГИ,РАЗНОЕ,СИГНАЛИ ТРИВОГИ,РІЗНЕ,ALLARMI,MISC,ALARM,DIVERSEN
ALARMS,BELL,ALRMBell,ALRM,"All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","fire bell, school bell, railroad crossing bell, sleigh bell",ALARMES,CLOCHE,ALARM,DZWONEK,ALARM,GLOCKE,ALARMES,SINO,ALARMES,SINO,警报,警铃,警報,警鈴,ALARMA,CAMPANA,アラーム,ベル,ALARM,BJELLE,ALARM,KLOKKE,LARM,RINGKLOCKA,HÄLYTIN,KELLO,СИГНАЛЫ ТРЕВОГИ,ЗВОНОК,СИГНАЛИ ТРИВОГИ,ДЗВІНОК,ALLARMI,CAMPANA,ALARM,
ALARMS,BUZZER,ALRMBuzr,ALRM,"All alarms using buzzers, or buzzers in general.","door buzzer, game show buzzer",ALARMES,BUZZER,ALARM,BZYCZEK,ALARM,SUMMER,ALARMES,CAMPAINHA,ALARMES,CAMPAINHA,警报,蜂鸣器,警報,蜂鳴器,ALARMA,ZUMBADOR,アラーム,ブザー,ALARM,SUMMER,ALARM,SUMMER,LARM,SUMMER,HÄLYTIN,SUMMERI,СИГНАЛЫ ТРЕВОГИ,ЖУЖАЩИЕ,СИГНАЛИ ТРИВОГИ,ДЗИЖЧАЧІ,ALLARMI,BUZZER,ALARM,ZOEMER
ALARMS,CLOCK,ALRMClok,ALRM,"Specifically alarm clocks, digital, buzzer, bells.","digital alarm clock, alarm clock",ALARMES,RÉVEIL,ALARM,ZEGAR,ALARM,UHR,ALARMES,RELÓGIO,ALARMES,RELÓGIO,警报,警钟,警報,警鐘,ALARMA,RELOJ,アラーム,クロック,ALARM,KLOKKE,ALARM,UR,LARM,KLOCKA,HÄLYTIN,HERÄTYSKELLO,СИГНАЛЫ ТРЕВОГИ,БУДИЛЬНИК,СИГНАЛИ ТРИВОГИ,БУДИЛЬНИК,ALLARMI,OROLOGIO,ALARM,
ALARMS,ELECTRONIC,ALRMElec,ALRM,"All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc.",fire detector,ALARMES,ÉLECTRONIQUE,ALARM,ELEKRONICZNY,ALARM,ELEKTRONISCH,ALARMES,ELETRÔNICO,ALARMES,ELECTRÓNICO,警报,电器,警報,電器,ALARMA,ELECTRÓNICA,アラーム,電子,ALARM,ELEKTRONISK,ALARM,ELEKTRISK,LARM,ELEKTRONISK,HÄLYTIN,ELEKTRONINEN,СИГНАЛЫ ТРЕВОГИ,ЭЛЕКТРОННЫЕ,СИГНАЛИ ТРИВОГИ,ЕЛЕКТРОННІ,ALLARMI,ELETRONICO,ALARM,
ALARMS,SIREN,ALRMSirn,ALRM,"Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN","klaxon, ahooga horn, air raid siren",ALARMES,SIRÈNE,ALARM,SYRENA,ALARM,SIRENE,ALARMES,SIRENE,ALARMES,SIRENE,警报,警报,警報,警報器,ALARMA,SIRENA,アラーム,サイレン,ALARM,SIRENE,ALARM,SIRENE,LARM,SIREN,HÄLYTIN,TORVI,СИГНАЛЫ ТРЕВОГИ,СИРЕНА,СИГНАЛИ ТРИВОГИ,СИРЕНА,ALLARMI,SIRENA,ALARM,
AMBIENCE,MISC,AMBMisc,AMB,Ambience sounds not fitting another category in this list.,,AMBIANCE,DIVERS,ATMOSFERA,RÓŻNE,ATMOSPHÄRE,DIV,AMBIENTES,DIVERSOS,AMBIENTES,DIVERSOS,环境,杂项,環境,其他,AMBIENTE,MISCELÁNEA,アンビエンス,その他,ATMOSFÆRE,DIVERSE,ATMOSFÆRE,DIVERSE,ATMOSFÄR,DIVERSE,AMBIENSSI,SEKALAISET,АТМОСФЕРА,РАЗНОЕ,АТМОСФЕРА,РІЗНЕ,AMBIENTE,MISC,ATMOSFEER,DIVERSEN
AMBIENCE,AMUSEMENT,AMBAmus,AMB,Theme parks and carnivals. Beware of possible rights issues with uncleared music.,"disneyland, six-flags, theme park, amusement park, carnival, fair, county fair, midway, traveling fair",AMBIANCE,ATTRACTION,ATMOSFERA,WESOŁE MIASTECZKO,ATMOSPHÄRE,FREIZEITPARK,AMBIENTES,DIVERSÃO,AMBIENTES,DIVERSÃO,环境,娱乐,環境,娛樂,AMBIENTE,PARQUE ATRACCIONES,アンビエンス,遊園地,ATMOSFÆRE,FORNØYELSE,ATMOSFÆRE,FORLYSTELSE,ATMOSFÄR,NÖJESFÄLT,AMBIENSSI,HUVIPUISTO,АТМОСФЕРА,РАЗВЛЕЧЕНИЯ,АТМОСФЕРА,РОЗВАГИ,AMBIENTE,DIVERTIMENTO,ATMOSFEER,
AMBIENCE,BIRDSONG,AMBBird,AMB,"Group songbirds, like a dawn chorus of pretty birds. Single birds would go in BIRDS-SONGBIRD.","dawn chorus, morning chorus, pretty bird, flocks, chirping, tweeting, peeping",AMBIANCE,OISEAUX,ATMOSFERA,ŚPIEW PTAKÓW,ATMOSPHÄRE,VOGELGESANG,AMBIENTES,PÁSSAROS,AMBIENTES,PÁSSAROS,环境,鸟鸣,環境,鳥鳴,AMBIENTE,PÁJAROS,アンビエンス,鳥の鳴き声,ATMOSFÆRE,FUGLESANG,ATMOSFÆRE,FUGLESANG,ATMOSFÄR,FÅGELSÅNG,AMBIENSSI,LINNUNLAULU,АТМОСФЕРА,ПЕНИЕ ПТИЦ,АТМОСФЕРА,СПІВ ПТАХІВ,AMBIENTE,UCCELLINI,ATMOSFEER,VOGELZANG
AMBIENCE,CELEBRATION,AMBCele,AMB,"Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years.","public gathering, event, party, gala, carnival, fest, fiesta",AMBIANCE,FESTIVE,ATMOSFERA,UROCZYSTOŚĆ,ATMOSPHÄRE,FEIER,AMBIENTES,CELEBRAÇÃO,AMBIENTES,CELEBRAÇÃO,环境,庆典,環境,慶典,AMBIENTE,CELEBRACIÓN,アンビエンス,祝福,ATMOSFÆRE,FEIRING,ATMOSFÆRE,FEJRING,ATMOSFÄR,FEST,AMBIENSSI,JUHLA,АТМОСФЕРА,ПРАЗДНИК,АТМОСФЕРА,СВЯТО,AMBIENTE,CELEBRAZIONE,ATMOSFEER,VIERING
AMBIENCE,CONSTRUCTION,AMBCnst,AMB,"Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene.","road construction, building, carpentry",AMBIANCE,CHANTIER,ATMOSFERA,BUDOWA,ATMOSPHÄRE,BAUSTELLE,AMBIENTES,CONSTRUÇÃO,AMBIENTES,CONSTRUÇÃO,环境,施工,環境,施工,AMBIENTE,CONSTRUCCIÓN,アンビエンス,建設、建築,ATMOSFÆRE,BYGGEPLASS,ATMOSFÆRE,KONSTRUKTION,ATMOSFÄR,BYGGE,AMBIENSSI,RAKENNUS,АТМОСФЕРА,СТРОЙКА,АТМОСФЕРА,БУДІВНИЦТВО,AMBIENTE,COSTRUZIONE,ATMOSFEER,CONSTRUCTIE
AMBIENCE,DESERT,AMBDsrt,AMB,Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.,"desert, tumbleweed, oasis, barren, wasteland, sahara, arid, sand dunes",AMBIANCE,DÉSERT,ATMOSFERA,PUSTYNIA,ATMOSPHÄRE,WÜSTE,AMBIENTES,DESERTO,AMBIENTES,DESERTO,环境,沙漠,環境,沙漠,AMBIENTE,DESIERTO,アンビエンス,砂漠,ATMOSFÆRE,ØRKEN,ATMOSFÆRE,ØRKEN,ATMOSFÄR,ÖKEN,AMBIENSSI,AAVIKKO,АТМОСФЕРА,ПУСТЫНЯ,АТМОСФЕРА,ПУСТЕЛЯ,AMBIENTE,DESERTO,ATMOSFEER,WOESTIJN
AMBIENCE,DESIGNED,AMBDsgn,AMB,"Artificial, Fantasy, Sci-Fi created ambiences. Pandora, Middle Earth, things overtly 'designed'.","artificial, fantasy, sci fi, pandora, middle earth, designed",AMBIANCE,DESIGN,ATMOSFERA,DESIGNED,ATMOSPHÄRE,DESIGNED,AMBIENTES,DESIGNED,AMBIENTES,DESIGNED,环境,设计后的,環境,設計的的,AMBIENTE,DISEÑADOS,アンビエンス,デザイン,ATMOSFÆRE,DESIGN,ATMOSFÆRE,DESIGNET,ATMOSFÄR,DESIGNAD,AMBIENSSI,DESIGNED,АТМОСФЕРА,ЗВУКОВОЙ ДИЗАЙН,АТМОСФЕРА,ЗВУКОВИЙ ДИЗАЙН,AMBIENTE,DISEGNATO,ATMOSFEER,
AMBIENCE,EMERGENCY,AMBEmrg,AMB,"Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics.","crime scene, fire fighting, police, medics, evidence, natural disaster, shooting, accident, catastrophe, injury, pileup casualty",AMBIANCE,URGENCE,ATMOSFERA,SŁUŻBY RATOWNICZE,ATMOSPHÄRE,NOTFALL,AMBIENTES,EMERGÊNCIA,AMBIENTES,EMERGÊNCIA,环境,紧急状态,環境,緊急狀態,AMBIENTE,EMERGENCIA,アンビエンス,エネルギー,ATMOSFÆRE,NØD,ATMOSFÆRE,NØDSITUATION,ATMOSFÄR,NÖDSITUATION,AMBIENSSI,HÄTÄTILANNE,АТМОСФЕРА,ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ,АТМОСФЕРА,НАДЗВИЧАЙНА СИТУАЦІЯ,AMBIENTE,EMERGENZA,ATMOSFEER,
AMBIENCE,FARM,AMBFarm,AMB,"Specifically farm ambiences, with animals, maybe tractors working, chickens.","farm, harvest, tilling, ranch, farmstead, grange, plantation, farmland, pen, barn, pasture, dairy, vineyard, corral",AMBIANCE,FERME,ATMOSFERA,GOSPODARSTWO ROLNE,ATMOSPHÄRE,LANDWIRTSCHAFT,AMBIENTES,FAZENDA,AMBIENTES,QUINTA,环境,农场,環境,農場,AMBIENTE,GRANJA,アンビエンス,農場、牧場,ATMOSFÆRE,BONDEGÅRD,ATMOSFÆRE,LANDBRUG,ATMOSFÄR,LANTBRUK,AMBIENSSI,MAATILA,АТМОСФЕРА,ФЕРМА,АТМОСФЕРА,ФЕРМА,AMBIENTE,FATTORIA,ATMOSFEER,
AMBIENCE,FOREST,AMBForst,AMB,"Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together.","forest, woods, timberland, boreal forest, rainforest, temperate rainforest, cloud forest, deciduous, conifer",AMBIANCE,FORÊT,ATMOSFERA,LAS,ATMOSPHÄRE,WALD,AMBIENTES,FLORESTA,AMBIENTES,FLORESTA,环境,森林,環境,森林,AMBIENTE,BOSQUE,アンビエンス,森、森林,ATMOSFÆRE,SKOG,ATMOSFÆRE,SKOVE,ATMOSFÄR,SKOG,AMBIENSSI,METSÄ,АТМОСФЕРА,ЛЕС,АТМОСФЕРА,ЛІС,AMBIENTE,FORESTA,ATMOSFEER,BOS
AMBIENCE,HISTORICAL,AMBHist,AMB,"Old West scenes, Roman street scenes. Composite history and ancient ambiences.","ghost town, old west, gold rush, ancient rome, ancient greece",AMBIANCE,HISTORIQUE,ATMOSFERA,HISTORYCZNA,ATMOSPHÄRE,HISTORISCH,AMBIENTES,HISTÓRICO,AMBIENTES,HISTÓRICO,环境,历史年代,環境,歷史年代,AMBIENTE,HISTÓRICO,アンビエンス,歴史,ATMOSFÆRE,HISTORISK,ATMOSFÆRE,HISTORISK,ATMOSFÄR,HISTORISK,AMBIENSSI,HISTORIALLINEN,АТМОСФЕРА,ИСТОРИЯ,АТМОСФЕРА,ІСТОРІЯ,AMBIENTE,STORICO,ATMOSFEER,HISTORISCH
AMBIENCE,HITECH,AMBTech,AMB,"Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratory, machine room, server, data center, control room",AMBIANCE,HIGH TECH,ATMOSFERA,HITECH,ATMOSPHÄRE,HI-TECH,AMBIENTES,HITECH,AMBIENTES,HITECH,环境,高科技,環境,高科技,AMBIENTE,HI-TECH,アンビエンス,ハイテク,ATMOSFÆRE,HI-TECH,ATMOSFÆRE,HØJTEKNOLOGISK,ATMOSFÄR,HI-TECH,AMBIENSSI,HITECH,АТМОСФЕРА,ВИСОКОТЕХНОЛОГИЧНАЯ,АТМОСФЕРА,ВИСОКОТЕХНОЛОГІЧНА,AMBIENTE,ALTA TECHNOLOGIA,ATMOSFEER,
AMBIENCE,HOSPITAL,AMBHosp,AMB,"Hospital ambiences of all kinds, surgery and emergency rooms too.","emergency room, surgery, waiting room, sickhouse, clinic, sanatorium, infirmary",AMBIANCE,HÔPITAL,ATMOSFERA,SZPITAL,ATMOSPHÄRE,KRANKENHAUS,AMBIENTES,HOSPITAL,AMBIENTES,HOSPITAL,环境,医院,環境,醫院,AMBIENTE,HOSPITAL,アンビエンス,病院,ATMOSFÆRE,SYKEHUS,ATMOSFÆRE,SYGEHUS,ATMOSFÄR,SJUKVÅRD,AMBIENSSI,SAIRAALA,АТМОСФЕРА,БОЛЬНИЦА,АТМОСФЕРА,ЛІКАРНЯ,AMBIENTE,OSPEDALE,ATMOSFEER,
AMBIENCE,INDUSTRIAL,AMBInd,AMB,Industrial warehouses and factories.,"factory, manufacturing, plant, mill, warehouse, workshop",AMBIANCE,INDUSTRIEL,ATMOSFERA,PRZEMYSŁ,ATMOSPHÄRE,INDUSTRIE,AMBIENTES,INDUSTRIAL,AMBIENTES,INDUSTRIAL,环境,工业,環境,工業,AMBIENTE,INDUSTRIAL,アンビエンス,産業,ATMOSFÆRE,INDUSTRIELL,ATMOSFÆRE,INDUSTRIEL,ATMOSFÄR,INDUSTRI,AMBIENSSI,TEOLLINEN,АТМОСФЕРА,ПРОИЗВОДСТВО,АТМОСФЕРА,ВИРОБНИЦТВО,AMBIENTE,INDUSTRIALE,ATMOSFEER,INDUSTRIEEL
AMBIENCE,MARKET,AMBMrkt,AMB,Busy exterior market activity and crowds. Think vibrant international markets in Istanbul or Africa.,"market, market place, vendor, shopping district, bazaar, mart, exchange, flea market, square",AMBIANCE,MARCHÉ,ATMOSFERA,TARG,ATMOSPHÄRE,MARKT,AMBIENTES,MERCADO,AMBIENTES,MERCADO,环境,市场,環境,市場,AMBIENTE,MERCADO,アンビエンス,マーケット,ATMOSFÆRE,MARKED,ATMOSFÆRE,MARKED,ATMOSFÄR,MARKNAD,AMBIENSSI,KAUPPA,АТМОСФЕРА,БАЗАР,АТМОСФЕРА,БАЗАР,AMBIENTE,MERCATO,ATMOSFEER,MARKT
AMBIENCE,NAUTICAL,AMBNaut,AMB,"Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE).","nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime",AMBIANCE,NAUTIQUE,ATMOSFERA,ŻEGLUGA,ATMOSPHÄRE,NAUTISCH,AMBIENTES,NÁUTICO,AMBIENTES,NÁUTICO,环境,航海,環境,航海,AMBIENTE,NÁUTICO,アンビエンス,自然,ATMOSFÆRE,MARITIM,ATMOSFÆRE,MARITIM,ATMOSFÄR,MARIN,AMBIENSSI,MERENKULKU,АТМОСФЕРА,МОРЕПЛАВАНИЕ,АТМОСФЕРА,МОРЕПЛАВСТВО,AMBIENTE,NAUTICO,ATMOSFEER,NAUTISCH
AMBIENCE,OFFICE,AMBOffc,AMB,"Workplaces, offices, people working, typing, telephones. General offices of various sizes.","office, cubicle, workplace, department, station, branch, workstation",AMBIANCE,BUREAU,ATMOSFERA,BIURO,ATMOSPHÄRE,BÜRO,AMBIENTES,ESCRITÓRIO,AMBIENTES,ESCRITÓRIO,环境,办公室,環境,辦公室,AMBIENTE,OFICINA,アンビエンス,オフィス,ATMOSFÆRE,KONTOR,ATMOSFÆRE,KONTOR,ATMOSFÄR,KONTOR,AMBIENSSI,TOIMISTO,АТМОСФЕРА,ОФИС,АТМОСФЕРА,ОФІС,AMBIENTE,UFFICIO,ATMOSFEER,
AMBIENCE,PRISON,AMBPrisn,AMB,"Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","prison, jail, prison yard, penitentiary, slammer, jailhouse, detention, solitary confinement, penal institution",AMBIANCE,PRISON,ATMOSFERA,WIĘZIENIE,ATMOSPHÄRE,GEFÄNGNIS,AMBIENTES,PRISÃO,AMBIENTES,PRISÃO,环境,监狱,環境,監獄,AMBIENTE,CÁRCEL,アンビエンス,刑務所,ATMOSFÆRE,FENGSEL,ATMOSFÆRE,FÆNGSEL,ATMOSFÄR,FÄNGELSE,AMBIENSSI,VANKILA,АТМОСФЕРА,ТЮРЬМА,АТМОСФЕРА,В'ЯЗНИЦЯ,AMBIENTE,PRIGIONE,ATMOSFEER,
AMBIENCE,PUBLIC PLACE,AMBPubl,AMB,"Except for restaurants, for any other public places such as stores, lobbies, hotels, malls, museums.","store, lobby, mall, museum, gallery, park, courtyard, town square, city hall, supermarket, library",AMBIANCE,LIEU PUBLIC,ATMOSFERA,MIEJSCE PUBLICZNE,ATMOSPHÄRE,ÖFFENTLICH,AMBIENTES,ESPAÇO PÚBLICO,AMBIENTES,ESPAÇO PÚBLICO,环境,公共场所,環境,公共場所,AMBIENTE,ESPACIO PUBLICO,アンビエンス,公共の場、ホール、劇場,ATMOSFÆRE,OFFENTLIG STED,ATMOSFÆRE,OFFENTLIGT STED,ATMOSFÄR,ALLMÄN PLATS,AMBIENSSI,JULKINEN,АТМОСФЕРА,ОБЩЕСТВЕННОЕ МЕСТО,АТМОСФЕРА,ГРОМАДСЬКЕ МІСЦЕ,AMBIENTE,SPAZIO PUBBLICO,ATMOSFEER,OPENBARE RUIMTE
